"m16_19","m20_24","m25_34","m35_54","m55_60","m60_plus","f16_19","f20_24","f25_34","f35_54","f55_60","f60_plus"
110,127,490,902,156,100,122,130,418,795,139,70
88,106,420,782,152,74,79,124,373,700,125,62
164,234,666,1426,261,180,188,209,588,1329,220,103
192,227,675,1407,308,163,223,244,610,1356,211,121
93,123,426,999,228,193,107,118,383,936,215,100
101,130,394,735,160,135,96,122,330,651,168,101
104,104,257,456,62,71,129,85,220,422,77,50
117,133,396,1023,188,156,82,121,358,959,167,104
120,187,472,890,163,115,174,177,351,777,119,99
108,113,300,493,86,69,137,121,268,484,81,52
91,107,293,532,68,95,79,123,237,438,92,63
128,205,583,883,159,132,97,201,479,789,147,90
91,95,259,637,98,81,90,69,229,535,101,94
157,219,628,1074,202,149,138,185,549,966,194,116
117,145,386,677,118,97,92,134,316,640,121,86
103,117,371,775,125,108,104,129,373,740,128,51
60,163,492,715,90,86,76,159,483,628,86,83
97,126,308,402,69,68,105,117,194,304,66,69
70,93,293,508,75,90,96,108,239,413,92,65
116,148,415,669,98,84,106,116,271,500,97,76
123,176,533,944,142,120,130,201,496,879,155,63
74,159,431,628,95,111,91,150,280,498,91,83
106,110,370,1069,208,121,85,101,329,1016,166,61
90,273,832,1090,169,123,95,255,755,1036,137,97
69,93,348,685,135,143,64,85,305,596,171,98
68,147,509,640,117,84,92,151,421,538,116,64
78,112,303,344,59,69,93,99,152,224,66,52
59,310,441,416,76,37,73,344,341,386,70,40
83,197,518,518,94,74,78,247,519,489,109,95
108,311,377,496,84,74,175,327,306,424,72,78
86,227,315,286,54,38,94,229,247,185,39,54
106,160,631,1008,199,167,98,172,501,876,153,111
61,101,259,872,177,126,92,87,246,807,146,86
75,126,302,459,72,64,97,134,275,415,71,47
87,213,373,530,91,91,103,171,311,466,97,69
175,350,379,563,78,86,241,413,313,493,100,60
85,91,359,679,145,86,86,115,302,610,140,74
222,196,353,705,129,133,263,176,312,637,132,51
109,129,370,597,102,87,110,158,302,497,124,98
78,242,351,410,60,55,88,250,274,344,71,59
91,98,248,1086,234,171,73,115,243,1047,191,93
144,309,416,451,49,53,165,339,318,299,42,29
118,114,233,404,94,82,126,125,199,349,103,54
126,123,380,798,152,116,130,118,352,727,131,93
96,132,410,791,178,143,70,153,342,694,135,91
96,352,599,740,95,101,117,367,459,717,110,89
109,261,610,1285,176,137,125,251,553,1188,171,109
90,119,263,392,78,97,95,111,242,346,88,58
95,115,345,628,96,78,82,109,292,549,79,86
115,278,789,987,138,112,135,261,551,819,142,74
128,178,412,701,100,90,102,167,404,659,119,77
96,154,449,805,165,122,116,121,429,744,165,89
109,161,625,907,95,82,92,158,592,833,100,76
76,122,313,726,127,135,94,115,276,672,126,94
122,154,320,1387,232,194,127,140,287,1346,212,121
103,105,379,658,128,99,125,133,314,584,85,70
108,117,505,804,130,77,94,136,460,723,150,111
73,118,314,501,118,97,85,114,255,492,90,60
81,159,642,891,143,154,134,190,561,888,156,86
79,123,282,475,112,95,98,124,244,473,108,63
76,118,338,830,161,121,101,116,332,786,137,84
91,84,287,691,125,126,90,78,286,619,130,90
93,110,445,963,120,69,136,136,447,843,81,76
139,128,435,1189,228,163,102,142,392,1120,208,115
165,188,562,1044,215,138,159,219,438,1000,179,101
89,98,315,828,140,149,91,84,311,747,140,105
140,164,639,1081,204,142,124,164,622,996,163,108
94,113,299,1267,267,281,144,105,258,1127,209,164
65,124,337,593,120,98,73,122,265,519,124,85
60,114,321,502,79,85,83,123,243,412,106,78
60,94,343,963,211,174,89,103,317,927,208,120
