"mfh","metro","train","bus","moto","car.d","car.p","taxi","cycle","walk","other"
262,28,25,466,63,1914,218,28,26,509,21
215,45,20,329,37,1950,199,26,32,217,15
422,45,54,752,81,3393,441,34,40,281,24
421,46,114,692,67,3538,389,37,33,371,31
331,42,19,451,36,2513,269,17,24,206,13
165,20,30,624,28,1678,255,40,27,234,20
108,31,21,503,36,919,191,18,27,174,9
389,111,38,412,39,2342,222,32,18,190,12
220,47,15,946,64,1658,310,28,31,317,10
125,33,24,590,37,1027,195,24,15,226,16
109,30,12,557,53,1070,170,30,32,150,6
237,60,12,889,54,1833,302,38,54,392,21
129,21,7,633,35,1013,187,22,28,282,22
284,127,26,800,54,2408,335,35,48,436,25
160,10,21,744,52,1268,242,23,32,357,21
230,411,33,316,49,1537,205,26,41,251,26
186,457,22,401,32,1325,188,34,34,409,33
113,66,31,367,27,838,158,55,19,234,17
147,40,19,528,29,928,144,32,26,237,13
175,28,20,608,45,1155,162,73,42,354,33
238,401,33,523,67,1948,231,25,56,410,30
213,29,27,667,29,984,161,72,35,434,39
349,63,18,452,48,2334,223,23,34,184,13
312,230,49,806,50,2413,294,15,100,664,19
200,88,10,560,31,1501,175,17,29,162,20
205,319,27,439,51,1071,169,13,54,566,32
105,46,6,356,42,631,132,37,32,246,18
172,47,37,347,26,1032,137,14,49,712,20
159,38,45,446,26,1417,163,23,59,633,12
179,86,44,359,33,1066,145,36,51,809,25
135,109,37,240,25,503,93,22,52,608,30
263,23,20,886,37,2184,313,47,34,365,12
240,32,29,377,27,1808,188,12,50,277,20
105,139,36,580,17,740,179,18,20,284,19
177,137,56,544,39,904,157,34,45,483,26
252,84,57,403,33,1154,158,14,87,978,31
196,24,16,512,55,1506,216,12,36,184,15
306,42,50,399,36,1753,193,27,92,391,19
130,74,26,783,49,998,219,31,48,293,32
136,41,52,418,31,730,116,46,76,609,28
369,19,40,492,28,2290,198,35,53,151,16
164,58,48,509,22,871,143,43,59,676,24
111,141,23,503,28,712,157,21,22,262,21
179,34,38,631,46,1796,300,16,19,162,24
146,35,12,732,40,1735,271,33,29,183,18
261,51,80,600,46,1812,229,31,79,636,18
400,45,59,805,52,2669,258,28,95,544,19
96,144,25,535,17,728,169,33,11,200,21
137,23,17,531,40,1339,208,21,24,200,13
381,19,84,784,33,2012,234,44,144,627,37
167,43,24,795,42,1364,218,31,69,375,9
212,191,24,685,61,1745,284,8,37,178,32
256,22,46,834,41,1798,229,23,128,432,22
185,280,21,408,36,1559,188,14,12,149,26
450,38,55,523,48,2936,240,40,78,223,11
178,100,16,378,37,1517,241,18,18,248,31
181,108,31,697,59,1808,300,22,27,155,26
121,116,13,580,33,999,210,28,15,189,13
267,38,28,868,45,2079,251,35,63,392,19
131,127,22,615,28,967,177,21,14,150,25
226,312,30,289,32,1857,242,21,18,143,30
163,362,20,284,30,1446,181,21,27,139,24
283,183,26,258,37,2185,275,21,18,205,29
347,33,17,723,50,2582,241,27,56,271,15
270,309,20,613,47,2320,327,25,41,401,35
266,28,35,462,46,1821,207,25,51,142,14
365,188,41,419,52,2905,308,24,24,201,21
575,29,60,409,60,2726,211,21,58,164,14
184,15,16,616,49,1219,176,17,40,170,25
120,15,24,620,52,902,173,33,35,214,18
345,17,30,538,59,2167,203,32,41,157,20
