"nssec_1","nssec_1.2","nssec_2","nssec_3","nssec_4","nssec_5","nssec_6","nssec_7","Other"
98,149,636,453,268,445,726,585,200
153,167,765,443,253,319,467,338,180
199,215,1197,737,423,596,1060,816,324
219,226,1323,845,471,652,998,668,336
226,233,1014,565,425,348,542,367,202
73,113,552,405,214,365,685,529,185
44,38,207,198,129,248,527,504,141
197,276,1035,497,409,309,522,334,227
66,56,400,356,231,421,966,885,264
49,46,300,239,127,275,564,543,168
70,37,319,264,137,236,533,486,137
69,94,586,416,271,487,952,783,233
44,64,313,249,168,265,573,493,210
103,116,751,628,350,519,1029,799,281
49,78,357,332,175,348,742,659,190
123,181,771,452,279,302,484,329,203
56,125,655,405,206,347,656,453,218
51,80,271,186,158,171,390,337,281
51,69,332,267,127,233,485,406,172
71,147,512,289,262,197,474,348,394
129,188,900,558,290,397,737,521,243
50,106,410,241,220,230,535,456,443
194,285,968,552,407,294,460,324,256
150,483,1264,520,352,395,622,438,729
101,142,613,382,257,291,537,354,116
61,169,466,303,176,273,580,508,410
36,54,192,129,132,136,349,292,329
60,284,433,154,77,69,133,92,1291
98,397,710,277,166,169,268,172,763
53,305,354,124,80,61,140,82,1632
29,117,207,88,63,59,107,80,1102
104,112,717,545,336,501,890,726,253
209,449,986,333,236,179,300,132,235
36,62,258,172,104,257,545,494,209
58,124,460,238,155,209,434,362,562
75,334,421,143,85,64,113,78,1936
81,107,507,453,203,355,520,396,150
152,483,611,169,157,77,126,71,1463
52,50,269,246,135,315,669,751,195
47,167,379,181,133,94,248,168,866
238,708,1226,386,282,142,238,133,337
42,132,370,158,146,101,250,163,1255
32,47,232,139,91,181,427,405,446
121,106,641,475,246,373,629,474,179
70,70,505,414,224,400,735,638,178
141,516,977,305,204,129,222,138,1210
273,699,1575,515,319,199,395,231,768
33,40,204,156,111,226,525,506,178
71,81,434,299,176,308,583,460,142
181,633,1227,370,344,166,341,205,932
70,126,550,348,208,290,636,477,433
88,118,584,470,295,427,744,574,157
123,293,1093,479,306,299,513,350,376
91,105,554,429,265,308,542,408,175
389,744,1567,475,394,181,292,149,449
96,87,455,320,207,340,651,474,153
79,109,659,515,274,441,649,514,174
32,58,300,211,133,287,603,558,135
150,260,1108,507,291,379,663,431,295
35,67,293,252,164,283,561,466,155
140,156,773,496,273,335,491,346,190
86,114,543,420,232,319,475,351,157
195,204,898,548,268,348,509,334,216
207,287,1140,645,449,351,642,369,272
145,144,761,607,299,518,964,722,248
187,271,982,432,293,201,349,169,213
233,296,1221,682,429,443,642,368,233
373,663,1357,500,419,170,338,161,347
67,89,484,335,188,289,530,375,171
30,56,284,236,128,276,609,437,150
223,398,1126,440,339,195,362,228,297
